Year,Month,Anomaly
1931,12,12.562
1932,1,12.407
1932,2,12.336
1932,3,13.016
1932,4,14.084
1932,5,14.949
1932,6,15.499
1932,7,15.815
1932,8,15.618
1932,9,15.219
1932,10,14.263
1932,11,12.976
1932,12,12.378
1933,1,12.05
1933,2,12.231
1933,3,12.805
1933,4,13.761
1933,5,14.712
1933,6,15.337
1933,7,15.708
1933,8,15.62
1933,9,14.88
1933,10,14.072
1933,11,12.909
1933,12,12.146
1934,1,12.04
1934,2,12.418
1934,3,12.743
1934,4,13.7
1934,5,14.865
1934,6,15.555
1934,7,15.84
1934,8,15.673
1934,9,15.043
1934,10,14.261
1934,11,13.338
1934,12,12.52
1935,1,11.932
1935,2,12.578
1935,3,12.958
1935,4,13.716
1935,5,14.675
1935,6,15.494
1935,7,15.786
1935,8,15.6
1935,9,14.992
1935,10,14.262
1935,11,12.893
1935,12,12.367
1936,1,11.99
1936,2,12.166
1936,3,12.803
1936,4,13.857
1936,5,14.844
1936,6,15.562
1936,7,15.912
1936,8,15.702
1936,9,15.102
1936,10,14.344
1936,11,13.21
1936,12,12.589
1937,1,12.239
1937,2,12.578
1937,3,12.967
1937,4,13.943
1937,5,14.973
1937,6,15.737
1937,7,16.009
1937,8,15.861
1937,9,15.35
1937,10,14.449
1937,11,13.363
1937,12,12.538
1938,1,12.378
1938,2,12.583
1938,3,13.198
1938,4,14.094
1938,5,14.918
1938,6,15.588
1938,7,15.919
1938,8,15.8
1938,9,15.275
1938,10,14.518
1938,11,13.351
1938,12,12.445
1939,1,12.263
1939,2,12.416
1939,3,12.913
1939,4,14.027
1939,5,15.088
1939,6,15.739
1939,7,15.946
1939,8,15.78
1939,9,15.193
1939,10,14.233
1939,11,13.225
1939,12,12.985
1940,1,12.364
1940,2,12.615
1940,3,13.194
1940,4,14.167
1940,5,15.052
1940,6,15.743
1940,7,16.117
1940,8,15.882
1940,9,15.304
1940,10,14.355
1940,11,13.23
1940,12,12.772
1941,1,12.289
1941,2,12.634
1941,3,13.056
1941,4,14.013
1941,5,15.033
1941,6,15.773
1941,7,16.111
1941,8,15.808
1941,9,15.026
1941,10,14.523
1941,11,13.26
1941,12,12.752
1942,1,12.641
1942,2,12.51
1942,3,13.196
1942,4,14.047
1942,5,15.09
1942,6,15.758
1942,7,15.964
1942,8,15.747
1942,9,15.158
1942,10,14.324
1942,11,13.294
1942,12,12.664
1943,1,12.252
1943,2,12.628
1943,3,13.071
1943,4,14.168
1943,5,15.098
1943,6,15.692
1943,7,16.07
1943,8,15.927
1943,9,15.254
1943,10,14.613
1943,11,13.441
1943,12,12.822
1944,1,12.679
1944,2,12.747
1944,3,13.372
1944,4,14.207
1944,5,15.183
1944,6,15.834
1944,7,16.169
1944,8,16.047
1944,9,15.419
1944,10,14.587
1944,11,13.354
1944,12,12.685
1945,1,12.402
1945,2,12.488
1945,3,13.198
1945,4,14.257
1945,5,15.028
1945,6,15.727
1945,7,15.981
1945,8,16.047
1945,9,15.335
1945,10,14.522
1945,11,13.29
1945,12,12.494
1946,1,12.35
1946,2,12.456
1946,3,13.146
1946,4,14.11
1946,5,14.952
1946,6,15.523
1946,7,15.916
1946,8,15.654
1946,9,15.102
1946,10,14.291
1946,11,13.213
1946,12,12.302
1947,1,12.297
1947,2,12.528
1947,3,13.242
1947,4,14.114
1947,5,14.96
1947,6,15.665
1947,7,15.942
1947,8,15.705
1947,9,15.12
1947,10,14.425
1947,11,13.351
1947,12,12.495
1948,1,12.372
1948,2,12.339
1948,3,12.896
1948,4,13.946
1948,5,15.061
1948,6,15.751
1948,7,15.883
1948,8,15.761
1948,9,15.077
1948,10,14.273
1948,11,13.09
1948,12,12.26
1949,1,12.38
1949,2,12.306
1949,3,13.035
1949,4,13.937
1949,5,14.931
1949,6,15.474
1949,7,15.815
1949,8,15.712
1949,9,15.067
1949,10,14.279
1949,11,13.149
1949,12,12.497
1950,1,12.062
1950,2,12.164
1950,3,12.999
1950,4,13.833
1950,5,14.943
1950,6,15.699
1950,7,15.965
1950,8,15.653
1950,9,15.038
1950,10,14.137
1950,11,12.946
1950,12,12.373
1951,1,11.963
1951,2,12.099
1951,3,12.971
1951,4,14.013
1951,5,15.136
1951,6,15.823
1951,7,16.046
1951,8,16.005
1951,9,15.328
1951,10,14.512
1951,11,13.293
1951,12,12.753
1952,1,12.479
1952,2,12.657
1952,3,13.045
1952,4,14.129
1952,5,15.078
1952,6,15.812
1952,7,16.106
1952,8,15.936
1952,9,15.354
1952,10,14.374
1952,11,13.189
1952,12,12.645
1953,1,12.385
1953,2,12.691
1953,3,13.21
1953,4,14.348
1953,5,15.264
1953,6,15.968
1953,7,16.118
1953,8,15.966
1953,9,15.347
1953,10,14.418
1953,11,13.274
1953,12,12.69
1954,1,12.084
1954,2,12.439
1954,3,13.022
1954,4,14.038
1954,5,14.99
1954,6,15.678
1954,7,15.871
1954,8,15.747
1954,9,15.162
1954,10,14.404
1954,11,13.447
1954,12,12.493
1955,1,12.504
1955,2,12.367
1955,3,12.846
1955,4,13.903
1955,5,14.83
1955,6,15.661
1955,7,15.885
1955,8,15.947
1955,9,15.072
1955,10,14.312
1955,11,13.039
1955,12,12.318
1956,1,12.22
1956,2,12.348
1956,3,12.89
1956,4,13.81
1956,5,14.747
1956,6,15.581
1956,7,15.883
1956,8,15.522
1956,9,15.012
1956,10,14.029
1956,11,13.112
1956,12,12.556
1957,1,12.171
1957,2,12.456
1957,3,13.019
1957,4,14.078
1957,5,15.142
1957,6,15.912
1957,7,15.961
1957,8,15.964
1957,9,15.312
1957,10,14.405
1957,11,13.34
1957,12,12.703
1958,1,12.647
1958,2,12.689
1958,3,13.225
1958,4,14.06
1958,5,15.082
1958,6,15.649
1958,7,15.971
1958,8,15.747
1958,9,15.123
1958,10,14.355
1958,11,13.336
1958,12,12.638
1959,1,12.4
1959,2,12.538
1959,3,13.249
1959,4,14.228
1959,5,15.111
1959,6,15.804
1959,7,16.019
1959,8,15.82
1959,9,15.131
1959,10,14.292
1959,11,13.149
1959,12,12.573
1960,1,12.283
1960,2,12.604
1960,3,12.774
1960,4,13.891
1960,5,14.952
1960,6,15.712
1960,7,15.938
1960,8,15.907
1960,9,15.3
1960,10,14.374
1960,11,13.115
1960,12,12.776
1961,1,12.347
1961,2,12.671
1961,3,13.153
1961,4,14.186
1961,5,15.183
1961,6,15.845
1961,7,16.003
